KEY,Consume,SpecialReward,NormalReward,BuyItemConsume,EmailKEY,
uint,uint[],uint[],uint[],uint[],uint,
1,61*1,,11*12,1*200,300101,
2,61*1,620401*1,12,1*200,300101,
3,61*1,,11*12,1*200,300101,
4,61*1,,11*12,1*200,300101,
5,61*1,,11*12,1*200,300101,
6,61*1,620400*2,12,1*200,300101,
7,61*1,,11*12,1*200,300101,
8,61*1,,11*12,1*200,300101,
9,61*1,,11*12,1*200,300101,
10,61*1,620400*2,12,1*200,300101,
11,61*1,,11*12,1*200,300101,
12,61*1,,11*12,1*200,300101,
13,61*1,,11*12,1*200,300101,
14,61*1,620400*2,12,1*200,300101,
15,61*1,,11*12,1*200,300101,
16,61*1,,11*12,1*200,300101,
17,61*1,,11*12,1*200,300101,
18,61*1,620400*2,12,1*200,300101,
19,61*1,,11*12,1*200,300101,
20,61*1,,11*12,1*200,300101,
21,61*1,,11*12,1*200,300101,
22,61*1,620400*2,12,1*200,300101,
23,61*1,,11*12,1*200,300101,
24,61*1,,11*12,1*200,300101,
25,61*1,,11*12,1*200,300101,
26,61*1,620400*2,12,1*200,300101,
27,61*1,,11*12,1*200,300101,
28,61*1,,11*12,1*200,300101,
29,61*1,,11*12,1*200,300101,
30,61*1,620400*2,12,1*200,300101,
31,61*1,,11*12,1*200,300101,
32,61*1,,11*12,1*200,300101,
33,61*1,,11*12,1*200,300101,
34,61*1,620400*2,12,1*200,300101,
35,61*1,,11*12,1*200,300101,
36,61*1,,11*12,1*200,300101,
37,61*1,,11*12,1*200,300101,
38,61*1,620400*2,12,1*200,300101,
39,61*1,,11*12,1*200,300101,
40,61*1,,11*12,1*200,300101,
41,61*1,,11*12,1*200,300101,
42,61*1,620400*2,12,1*200,300101,
43,61*1,,11*12,1*200,300101,
44,61*1,,11*12,1*200,300101,
45,61*1,,11*12,1*200,300101,
46,61*1,620400*2,12,1*200,300101,
47,61*1,,11*12,1*200,300101,
48,61*1,,11*12,1*200,300101,
49,61*1,,11*12,1*200,300101,
50,61*1,620400*2,12,1*200,300101,
51,61*1,,11*12,1*200,300101,
52,61*1,,11*12,1*200,300101,
53,61*1,,11*12,1*200,300101,
54,61*1,620400*2,12,1*200,300101,
55,61*1,,11*12,1*200,300101,
56,61*1,,11*12,1*200,300101,
57,61*1,,11*12,1*200,300101,
58,61*1,620400*2,12,1*200,300101,
